y,x,street_count,highway,junction,railway,geometry
18.9213666,72.832299,4,,yes,,POINT (72.832299 18.9213666)
18.9210264,72.8263833,4,traffic_signals,,,POINT (72.8263833 18.9210264)
18.9218402,72.8311822,4,traffic_signals,,,POINT (72.8311822 18.9218402)
18.9219371,72.8325622,3,,,,POINT (72.8325622 18.9219371)
18.921752,72.8278729,3,,,,POINT (72.8278729 18.921752)
18.9224596,72.8328032,3,,,,POINT (72.8328032 18.9224596)
18.9224128,72.8314173,3,,,,POINT (72.8314173 18.9224128)
18.9226885,72.8322054,3,,,,POINT (72.8322054 18.9226885)
18.9230594,72.8330804,3,,,,POINT (72.8330804 18.9230594)
18.9228355,72.8294226,4,crossing,,,POINT (72.8294226 18.9228355)
18.9229194,72.8316026,3,,,,POINT (72.8316026 18.9229194)
18.9233598,72.8328257,3,,,,POINT (72.8328257 18.9233598)
18.9236196,72.8326055,3,,,,POINT (72.8326055 18.9236196)
18.9238081,72.8324456,3,,,,POINT (72.8324456 18.9238081)
18.9238193,72.8334761,3,,,,POINT (72.8334761 18.9238193)
18.9242645,72.8320587,3,,,,POINT (72.8320587 18.9242645)
18.9238758,72.830821,3,,,,POINT (72.830821 18.9238758)
18.9242794,72.8330942,3,,,,POINT (72.8330942 18.9242794)
18.9250427,72.832318,4,traffic_signals,,,POINT (72.832318 18.9250427)
18.9250738,72.8321085,3,traffic_signals,,,POINT (72.8321085 18.9250738)
18.9252387,72.8325481,3,traffic_signals,,,POINT (72.8325481 18.9252387)
18.9253612,72.8319444,3,traffic_signals,,,POINT (72.8319444 18.9253612)
18.9253039,72.8325633,3,traffic_signals,,,POINT (72.8325633 18.9253039)
18.9254921,72.8319922,3,traffic_signals,,,POINT (72.8319922 18.9254921)
18.925623,72.8321984,3,traffic_signals,,,POINT (72.8321984 18.925623)
18.9243642,72.8247774,4,,,,POINT (72.8247774 18.9243642)
18.9263905,72.8280343,4,traffic_signals,,,POINT (72.8280343 18.9263905)
18.9244194,72.8199259,1,,,,POINT (72.8199259 18.9244194)
18.9258098,72.8211183,4,,,,POINT (72.8211183 18.9258098)
18.9264383,72.8270585,4,traffic_signals,,,POINT (72.8270585 18.9264383)
18.9262685,72.8205205,3,,,,POINT (72.8205205 18.9262685)
18.9269393,72.8196463,3,,,,POINT (72.8196463 18.9269393)
18.9270256,72.8331398,4,,,,POINT (72.8331398 18.9270256)
18.9275545,72.8217046,3,traffic_signals,,,POINT (72.8217046 18.9275545)
18.9275189,72.8255127,3,,,,POINT (72.8255127 18.9275189)
18.9276036,72.8216338,4,traffic_signals,,,POINT (72.8216338 18.9276036)
18.9280825,72.8317434,3,,,,POINT (72.8317434 18.9280825)
18.9281729,72.8320837,3,,,,POINT (72.8320837 18.9281729)
18.928203,72.8324393,3,,,,POINT (72.8324393 18.928203)
18.9282027,72.8256079,3,,,,POINT (72.8256079 18.9282027)
18.9282805,72.8329748,4,,,,POINT (72.8329748 18.9282805)
18.9283801,72.834156,3,,,,POINT (72.834156 18.9283801)
18.9285018,72.8281185,4,,,,POINT (72.8281185 18.9285018)
18.9285822,72.8313972,3,,,,POINT (72.8313972 18.9285822)
18.9296497,72.8217873,3,,,,POINT (72.8217873 18.9296497)
18.9286155,72.8319629,3,,,,POINT (72.8319629 18.9286155)
18.9293596,72.8238385,3,,,,POINT (72.8238385 18.9293596)
18.928804,72.8322712,3,,,,POINT (72.8322712 18.928804)
18.9289618,72.8325744,3,,,,POINT (72.8325744 18.9289618)
18.9289695,72.826603,3,,,,POINT (72.826603 18.9289695)
18.9291084,72.831396,3,,,,POINT (72.831396 18.9291084)
18.9293287,72.8323712,3,,,,POINT (72.8323712 18.9293287)
18.9294649,72.8346212,3,,,,POINT (72.8346212 18.9294649)
18.9296127,72.8322425,3,,,,POINT (72.8322425 18.9296127)
18.9296322,72.8281582,4,traffic_signals,,,POINT (72.8281582 18.9296322)
18.9301448,72.8320712,3,,,,POINT (72.8320712 18.9301448)
18.9298565,72.8273518,3,,,,POINT (72.8273518 18.9298565)
18.9302137,72.8326612,3,,,,POINT (72.8326612 18.9302137)
18.9303607,72.8313739,3,,,,POINT (72.8313739 18.9303607)
18.930412,72.8320112,3,,,,POINT (72.8320112 18.930412)
18.930184,72.8347483,3,,,,POINT (72.8347483 18.930184)
18.930262,72.8338816,3,,,,POINT (72.8338816 18.930262)
18.9307064,72.8319283,3,,,,POINT (72.8319283 18.9307064)
18.9307586,72.8326126,4,,,,POINT (72.8326126 18.9307586)
18.9316196,72.8228487,3,,,,POINT (72.8228487 18.9316196)
18.9306945,72.8313575,3,,,,POINT (72.8313575 18.9306945)
18.93075,72.8339943,3,,,,POINT (72.8339943 18.93075)
18.9307399,72.8348749,4,,,,POINT (72.8348749 18.9307399)
18.9313284,72.8331,4,,,,POINT (72.8331 18.9313284)
18.9311664,72.8340587,3,,,,POINT (72.8340587 18.9311664)
18.9314411,72.8326027,3,,,,POINT (72.8326027 18.9314411)
18.9313716,72.8349562,4,,,,POINT (72.8349562 18.9313716)
18.9318805,72.8313162,3,traffic_signals,,,POINT (72.8313162 18.9318805)
18.931634,72.8317164,4,,,,POINT (72.8317164 18.931634)
18.9320686,72.8343771,4,,,,POINT (72.8343771 18.9320686)
18.932203,72.8332564,4,,,,POINT (72.8332564 18.932203)
18.9322701,72.8326302,3,,,,POINT (72.8326302 18.9322701)
18.932388,72.8318345,3,,,,POINT (72.8318345 18.932388)
18.9326074,72.8351102,3,,,,POINT (72.8351102 18.9326074)
18.9328761,72.8327398,3,,,,POINT (72.8327398 18.9328761)
18.9330153,72.8320807,1,,,,POINT (72.8320807 18.9330153)
18.9328702,72.827991,4,traffic_signals,,,POINT (72.827991 18.9328702)
18.9329367,72.8334503,3,,,,POINT (72.8334503 18.9329367)
18.9333254,72.8345652,3,,,,POINT (72.8345652 18.9333254)
18.9333736,72.8352539,3,,,,POINT (72.8352539 18.9333736)
18.9334605,72.8345814,3,,,,POINT (72.8345814 18.9334605)
18.93345,72.8335798,4,,,,POINT (72.8335798 18.93345)
18.9335505,72.832992,3,,,,POINT (72.832992 18.9335505)
18.9340788,72.8271177,3,,,,POINT (72.8271177 18.9340788)
18.9336365,72.8358546,3,,,,POINT (72.8358546 18.9336365)
18.9339812,72.8346774,4,,,,POINT (72.8346774 18.9339812)
18.9338711,72.8353865,4,,,,POINT (72.8353865 18.9338711)
18.9341185,72.8389331,3,,,,POINT (72.8389331 18.9341185)
18.9340181,72.835829,4,,,,POINT (72.835829 18.9340181)
18.9342197,72.836327,3,,,,POINT (72.836327 18.9342197)
18.9344956,72.837098,4,traffic_signals,,,POINT (72.837098 18.9344956)
18.9342452,72.8337667,4,,,,POINT (72.8337667 18.9342452)
18.934579,72.8390367,3,,,,POINT (72.8390367 18.934579)
18.9344042,72.8332495,3,,,,POINT (72.8332495 18.9344042)
18.9343675,72.8355228,3,,,,POINT (72.8355228 18.9343675)
18.9343193,72.8358062,3,,,,POINT (72.8358062 18.9343193)
18.9345617,72.8326934,4,,,,POINT (72.8326934 18.9345617)
18.9346588,72.832398,3,,,,POINT (72.832398 18.9346588)
18.9344689,72.8352175,3,,,,POINT (72.8352175 18.9344689)
18.9350444,72.8369561,3,,,,POINT (72.8369561 18.9350444)
18.9350055,72.8371384,3,,,,POINT (72.8371384 18.9350055)
18.9347522,72.840235,3,,,,POINT (72.840235 18.9347522)
18.93493,72.8269876,3,,,,POINT (72.8269876 18.93493)
18.9346428,72.8347908,4,,,,POINT (72.8347908 18.9346428)
18.9349288,72.8363496,3,,,,POINT (72.8363496 18.9349288)
18.9350998,72.8391538,3,,,,POINT (72.8391538 18.9350998)
18.9335717,72.8415358,3,,,,POINT (72.8415358 18.9335717)
18.9348213,72.8319025,3,,,,POINT (72.8319025 18.9348213)
18.9349371,72.8338645,3,,,,POINT (72.8338645 18.9349371)
18.9349084,72.8340428,3,,,,POINT (72.8340428 18.9349084)
18.9345956,72.8414886,4,,,,POINT (72.8414886 18.9345956)
18.9349887,72.8313947,3,,,,POINT (72.8313947 18.9349887)
18.9349849,72.8335639,3,,,,POINT (72.8335639 18.9349849)
18.9352758,72.8353769,3,,,,POINT (72.8353769 18.9352758)
18.9352784,72.8357501,4,,,,POINT (72.8357501 18.9352784)
18.9353135,72.8363515,4,,,,POINT (72.8363515 18.9353135)
18.9353063,72.8369626,3,,,,POINT (72.8369626 18.9353063)
18.9352516,72.8403513,4,,,,POINT (72.8403513 18.9352516)
18.9355057,72.8349367,3,,,,POINT (72.8349367 18.9355057)
18.9356419,72.8392757,3,,,,POINT (72.8392757 18.9356419)
18.9356877,72.8327962,3,,,,POINT (72.8327962 18.9356877)
18.9355342,72.8373216,3,,,,POINT (72.8373216 18.9355342)
18.9359422,72.8339643,3,,,,POINT (72.8339643 18.9359422)
18.9357681,72.8268413,3,,,,POINT (72.8268413 18.9357681)
18.9358658,72.8323276,3,,,,POINT (72.8323276 18.9358658)
18.9360454,72.8374571,3,,,,POINT (72.8374571 18.9360454)
18.9359361,72.8405204,3,,,,POINT (72.8405204 18.9359361)
18.9348829,72.8420925,3,,,,POINT (72.8420925 18.9348829)
18.9360448,72.8318515,4,,,,POINT (72.8318515 18.9360448)
18.9355686,72.8274937,3,,,,POINT (72.8274937 18.9355686)
18.935633,72.8286805,3,,,,POINT (72.8286805 18.935633)
18.9362834,72.8337415,4,,,,POINT (72.8337415 18.9362834)
18.9361744,72.8393955,4,,,,POINT (72.8393955 18.9361744)
18.9362488,72.8354072,3,,,,POINT (72.8354072 18.9362488)
18.9353852,72.8308679,4,traffic_signals,,,POINT (72.8308679 18.9353852)
18.9365299,72.833117,4,,,,POINT (72.833117 18.9365299)
18.9363274,72.8346483,3,,,,POINT (72.8346483 18.9363274)
18.9362698,72.8312578,3,,,,POINT (72.8312578 18.9362698)
18.9366,72.8375892,3,,,,POINT (72.8375892 18.9366)
18.9365357,72.8354322,3,,,,POINT (72.8354322 18.9365357)
18.936519,72.8357828,4,,,,POINT (72.8357828 18.936519)
18.9369723,72.8241691,3,,,,POINT (72.8241691 18.9369723)
18.9364225,72.8364483,3,,,,POINT (72.8364483 18.9364225)
18.9368426,72.8321968,4,,,,POINT (72.8321968 18.9368426)
18.9363467,72.827413,4,,,,POINT (72.827413 18.9363467)
18.9364245,72.8286698,3,,,,POINT (72.8286698 18.9364245)
18.9369866,72.8339713,3,,,,POINT (72.8339713 18.9369866)
18.9373522,72.8353503,3,,,,POINT (72.8353503 18.9373522)
18.9370665,72.831609,3,,,,POINT (72.831609 18.9370665)
18.9371928,72.8333786,4,,,,POINT (72.8333786 18.9371928)
18.936547,72.840672,3,,,,POINT (72.840672 18.936547)
18.9375028,72.8324825,3,,,,POINT (72.8324825 18.9375028)
18.9371804,72.8363879,3,,,,POINT (72.8363879 18.9371804)
18.9371264,72.8377146,4,,,,POINT (72.8377146 18.9371264)
18.9377665,72.8336003,4,,,,POINT (72.8336003 18.9377665)
18.9375835,72.8341716,3,,,,POINT (72.8341716 18.9375835)
18.9374341,72.8358124,4,,,,POINT (72.8358124 18.9374341)
18.9374543,72.8363933,3,,,,POINT (72.8363933 18.9374543)
18.9376828,72.8352785,3,,,,POINT (72.8352785 18.9376828)
18.9380523,72.8327203,4,,,,POINT (72.8327203 18.9380523)
18.9376596,72.8378417,4,,,,POINT (72.8378417 18.9376596)
18.9378117,72.8397499,3,,,,POINT (72.8397499 18.9378117)
18.9379952,72.8352187,3,,,,POINT (72.8352187 18.9379952)
18.9371755,72.8273702,4,traffic_signals,,,POINT (72.8273702 18.9371755)
18.938237,72.8321578,3,,,,POINT (72.8321578 18.938237)
18.9381237,72.8357547,4,,,,POINT (72.8357547 18.9381237)
18.9381253,72.836373,3,,,,POINT (72.836373 18.9381253)
18.9372898,72.8286612,3,,,,POINT (72.8286612 18.9372898)
18.9382417,72.8379803,5,traffic_signals,yes,,POINT (72.8379803 18.9382417)
18.9383664,72.8350755,4,,,,POINT (72.8350755 18.9383664)
18.9384418,72.835722,3,,,,POINT (72.835722 18.9384418)
18.938479,72.8359405,4,traffic_signals,,,POINT (72.8359405 18.938479)
18.9385464,72.8363357,3,,,,POINT (72.8363357 18.9385464)
18.9384195,72.8369542,4,traffic_signals,,,POINT (72.8369542 18.9384195)
18.9387779,72.8339899,3,,,,POINT (72.8339899 18.9387779)
18.938707,72.8346296,4,traffic_signals,,,POINT (72.8346296 18.938707)
18.93796,72.8272848,4,,,,POINT (72.8272848 18.93796)
18.9381149,72.8286353,3,,,,POINT (72.8286353 18.9381149)
18.9390006,72.8271411,4,traffic_signals,,,POINT (72.8271411 18.9390006)
18.9393421,72.8282836,3,,,,POINT (72.8282836 18.9393421)
18.9401375,72.8344023,3,,,,POINT (72.8344023 18.9401375)
18.9420871,72.8345727,3,,,,POINT (72.8345727 18.9420871)
18.9426451,72.8307511,4,,,,POINT (72.8307511 18.9426451)
18.9417592,72.8295327,4,traffic_signals,,,POINT (72.8295327 18.9417592)
18.9425749,72.8259934,3,,,,POINT (72.8259934 18.9425749)
18.9425953,72.8269954,4,,,,POINT (72.8269954 18.9425953)
18.9439069,72.8233577,3,,,,POINT (72.8233577 18.9439069)
18.9439279,72.8252849,3,,,,POINT (72.8252849 18.9439279)
18.9444346,72.8342569,3,,,,POINT (72.8342569 18.9444346)
18.9453321,72.8307703,4,,,,POINT (72.8307703 18.9453321)
18.9462243,72.8319575,3,,,,POINT (72.8319575 18.9462243)
18.9461837,72.8290585,4,traffic_signals,,,POINT (72.8290585 18.9461837)
18.94771,72.7957728,3,,,,POINT (72.7957728 18.94771)
18.9481052,72.795648,4,,,,POINT (72.795648 18.9481052)
18.9483024,72.7955439,3,,,,POINT (72.7955439 18.9483024)
18.9460354,72.8216197,3,,,,POINT (72.8216197 18.9460354)
18.9481474,72.7953558,3,,,,POINT (72.7953558 18.9481474)
18.9478389,72.826253,3,,,,POINT (72.826253 18.9478389)
18.9478253,72.7972861,3,,,,POINT (72.7972861 18.9478253)
18.9490451,72.7959409,3,,,,POINT (72.7959409 18.9490451)
18.949887,72.7954434,3,,,,POINT (72.7954434 18.949887)
18.9477276,72.828684,4,,,,POINT (72.828684 18.9477276)
18.9488753,72.798356,4,,,,POINT (72.798356 18.9488753)
18.9489642,72.8253284,3,,,,POINT (72.8253284 18.9489642)
18.9487739,72.8324141,3,,,,POINT (72.8324141 18.9487739)
18.9500084,72.7932955,3,,,,POINT (72.7932955 18.9500084)
18.9504912,72.795844,3,,,,POINT (72.795844 18.9504912)
18.9495175,72.8337072,4,,,,POINT (72.8337072 18.9495175)
18.9498735,72.7995354,4,,,,POINT (72.7995354 18.9498735)
18.949567,72.8211885,4,,,,POINT (72.8211885 18.949567)
18.9487033,72.8289115,4,,,,POINT (72.8289115 18.9487033)
18.9496862,72.8342856,4,,,,POINT (72.8342856 18.9496862)
18.9498447,72.8262782,3,,,,POINT (72.8262782 18.9498447)
18.9500175,72.8243908,3,,,,POINT (72.8243908 18.9500175)
18.9503135,72.8267973,3,,,,POINT (72.8267973 18.9503135)
18.9496547,72.8370338,4,,,,POINT (72.8370338 18.9496547)
18.9497149,72.8377055,3,,,,POINT (72.8377055 18.9497149)
18.9498397,72.8330169,3,,,,POINT (72.8330169 18.9498397)
18.9505107,72.8313352,3,,,,POINT (72.8313352 18.9505107)
18.9497606,72.8358331,3,,,,POINT (72.8358331 18.9497606)
18.9505948,72.8202304,4,traffic_signals,,,POINT (72.8202304 18.9505948)
18.9506649,72.8317345,3,,,,POINT (72.8317345 18.9506649)
18.950546,72.832188,3,,,,POINT (72.832188 18.950546)
18.9508525,72.8289222,3,,,,POINT (72.8289222 18.9508525)
18.9497459,72.8359634,3,,,,POINT (72.8359634 18.9497459)
18.9511703,72.8310026,3,,,,POINT (72.8310026 18.9511703)
18.9507706,72.8320901,3,,,,POINT (72.8320901 18.9507706)
18.9506531,72.8327717,3,,,,POINT (72.8327717 18.9506531)
18.9511129,72.793938,3,,,,POINT (72.793938 18.9511129)
18.951004,72.8258908,3,,,,POINT (72.8258908 18.951004)
18.9521269,72.7968635,3,,,,POINT (72.7968635 18.9521269)
18.9507219,72.8334106,3,,,,POINT (72.8334106 18.9507219)
18.9500704,72.8359643,4,,,,POINT (72.8359643 18.9500704)
18.9500803,72.8364702,4,,,,POINT (72.8364702 18.9500803)
18.9502868,72.8370347,4,,,,POINT (72.8370347 18.9502868)
18.9503797,72.8376467,4,,,,POINT (72.8376467 18.9503797)
18.9512991,72.8268907,3,,,,POINT (72.8268907 18.9512991)
18.9508091,72.8339605,3,,,,POINT (72.8339605 18.9508091)
18.9514617,72.7932778,3,,,,POINT (72.7932778 18.9514617)
18.9509036,72.8344258,3,,,,POINT (72.8344258 18.9509036)
18.9522771,72.7967023,3,,,,POINT (72.7967023 18.9522771)
18.9515445,72.8317535,3,,,,POINT (72.8317535 18.9515445)
18.9510246,72.8326869,3,,,,POINT (72.8326869 18.9510246)
18.9509455,72.8348557,3,,,,POINT (72.8348557 18.9509455)
18.9509618,72.8350445,3,,,,POINT (72.8350445 18.9509618)
18.9506224,72.8018763,3,,,,POINT (72.8018763 18.9506224)
18.9515513,72.8359386,3,,,,POINT (72.8359386 18.9515513)
18.9516382,72.831712,3,,,,POINT (72.831712 18.9516382)
18.9514454,72.8325575,3,,,,POINT (72.8325575 18.9514454)
18.9511834,72.8333181,3,,,,POINT (72.8333181 18.9511834)
18.9522514,72.7969193,3,,,,POINT (72.7969193 18.9522514)
18.9517274,72.8240906,1,,,,POINT (72.8240906 18.9517274)
18.9527951,72.8267817,1,,,,POINT (72.8267817 18.9527951)
18.9513309,72.8338045,4,,,,POINT (72.8338045 18.9513309)
18.9521904,72.7936842,1,,,,POINT (72.7936842 18.9521904)
18.9519052,72.8324186,4,,,,POINT (72.8324186 18.9519052)
18.951605,72.833202,3,,,,POINT (72.833202 18.951605)
18.9515182,72.8344806,3,,,,POINT (72.8344806 18.9515182)
18.9524354,72.8023174,4,,,,POINT (72.8023174 18.9524354)
18.9521674,72.8275449,3,,,,POINT (72.8275449 18.9521674)
18.9516063,72.8347968,3,,,,POINT (72.8347968 18.9516063)
18.9527278,72.8013172,3,,,,POINT (72.8013172 18.9527278)
18.952296,72.8316641,3,,,,POINT (72.8316641 18.952296)
18.9520872,72.8330901,4,,,,POINT (72.8330901 18.9520872)
18.9523858,72.8363002,4,,,,POINT (72.8363002 18.9523858)
18.9522963,72.8236922,3,,,,POINT (72.8236922 18.9522963)
18.9522073,72.8335694,4,,,,POINT (72.8335694 18.9522073)
18.9521007,72.8358492,3,,,,POINT (72.8358492 18.9521007)
18.9524444,72.8374572,4,,,,POINT (72.8374572 18.9524444)
18.952452,72.8322627,4,,,,POINT (72.8322627 18.952452)
18.9523983,72.836912,4,,,,POINT (72.836912 18.9523983)
18.9528233,72.8174415,4,traffic_signals,,,POINT (72.8174415 18.9528233)
18.9526485,72.832939,4,,,,POINT (72.832939 18.9526485)
18.9528213,72.8217521,3,,,,POINT (72.8217521 18.9528213)
18.9524065,72.8297067,5,,,,POINT (72.8297067 18.9524065)
18.9527705,72.8334595,4,,,,POINT (72.8334595 18.9527705)
18.9526993,72.8394249,1,,,,POINT (72.8394249 18.9526993)
18.9525958,72.8024792,4,,,,POINT (72.8024792 18.9525958)
18.9529382,72.8340943,4,traffic_signals,,,POINT (72.8340943 18.9529382)
18.9526375,72.8295971,3,,,,POINT (72.8295971 18.9526375)
18.9529996,72.8343964,3,,,,POINT (72.8343964 18.9529996)
18.9531843,72.823123,4,,,,POINT (72.823123 18.9531843)
18.9528489,72.832115,3,,,,POINT (72.832115 18.9528489)
18.9528756,72.8160857,3,traffic_signals,,,POINT (72.8160857 18.9528756)
18.9536392,72.8238252,1,,,,POINT (72.8238252 18.9536392)
18.9530639,72.825264,3,,,,POINT (72.825264 18.9530639)
18.9530498,72.8328533,3,,,,POINT (72.8328533 18.9530498)
18.9529297,72.8293482,3,,,,POINT (72.8293482 18.9529297)
18.9531421,72.8314463,4,,,,POINT (72.8314463 18.9531421)
18.9532586,72.8352722,4,,,,POINT (72.8352722 18.9532586)
18.9538728,72.7977949,3,,,,POINT (72.7977949 18.9538728)
18.9538706,72.7991183,3,,,,POINT (72.7991183 18.9538706)
18.9531599,72.8288647,3,,,,POINT (72.8288647 18.9531599)
18.9533976,72.8357906,4,,,,POINT (72.8357906 18.9533976)
18.9532542,72.8396248,3,,,,POINT (72.8396248 18.9532542)
18.9533387,72.8364598,4,,,,POINT (72.8364598 18.9533387)
18.9533222,72.8368936,4,,,,POINT (72.8368936 18.9533222)
18.953316,72.8374735,4,,,,POINT (72.8374735 18.953316)
18.9534417,72.8309195,3,,,,POINT (72.8309195 18.9534417)
18.9532518,72.8319564,4,,,,POINT (72.8319564 18.9532518)
18.9536267,72.8308281,3,,,,POINT (72.8308281 18.9536267)
18.9549559,72.7985305,3,,,,POINT (72.7985305 18.9549559)
18.9537528,72.820605,4,,,,POINT (72.820605 18.9537528)
18.9536509,72.8265784,4,,,,POINT (72.8265784 18.9536509)
18.9539751,72.8316542,4,,,,POINT (72.8316542 18.9539751)
18.9541487,72.82314,3,,,,POINT (72.82314 18.9541487)
18.9537516,72.8280454,1,,,,POINT (72.8280454 18.9537516)
18.9534915,72.8327579,4,,,,POINT (72.8327579 18.9534915)
18.9539087,72.839201,3,,,,POINT (72.839201 18.9539087)
18.9536415,72.8332368,3,,,,POINT (72.8332368 18.9536415)
18.954112,72.8366925,3,,,,POINT (72.8366925 18.954112)
18.9542413,72.8384521,1,,,,POINT (72.8384521 18.9542413)
18.9540001,72.8389113,3,,,,POINT (72.8389113 18.9540001)
18.9548359,72.8074175,3,,,,POINT (72.8074175 18.9548359)
18.954184,72.8234892,3,,,,POINT (72.8234892 18.954184)
18.954377,72.8038505,4,,,,POINT (72.8038505 18.954377)
18.9549559,72.8076519,3,,,,POINT (72.8076519 18.9549559)
18.9542676,72.821158,3,,,,POINT (72.821158 18.9542676)
18.9538499,72.828972,3,,,,POINT (72.828972 18.9538499)
18.9539437,72.8305831,4,,,,POINT (72.8305831 18.9539437)
18.9541745,72.8309799,3,,,,POINT (72.8309799 18.9541745)
18.9542775,72.8374411,3,,,,POINT (72.8374411 18.9542775)
18.9547553,72.8033206,3,,,,POINT (72.8033206 18.9547553)
18.954549,72.8215786,3,,,,POINT (72.8215786 18.954549)
18.9545167,72.8320596,4,,,,POINT (72.8320596 18.9545167)
18.953924,72.8360199,1,,,,POINT (72.8360199 18.953924)
18.9538276,72.839775,4,,,,POINT (72.839775 18.9538276)
18.9551182,72.8025144,3,,,,POINT (72.8025144 18.9551182)
18.9542308,72.8294018,1,,,,POINT (72.8294018 18.9542308)
18.9542456,72.8303346,4,,,,POINT (72.8303346 18.9542456)
18.9550285,72.7960077,1,,,,POINT (72.7960077 18.9550285)
18.9545287,72.832602,3,,,,POINT (72.832602 18.9545287)
18.9544313,72.8367924,3,,,,POINT (72.8367924 18.9544313)
18.9544942,72.8384381,1,,,,POINT (72.8384381 18.9544942)
18.9544668,72.8389221,3,,,,POINT (72.8389221 18.9544668)
18.9549349,72.822606,3,,,,POINT (72.822606 18.9549349)
18.9544486,72.8307423,4,,,,POINT (72.8307423 18.9544486)
